pin,scan_date,verify_mode,io_mode,work_code
10002,"2023-07-04 18:16:19",0,1,0
11672,"2023-07-04 18:22:26",0,0,0
12936,"2023-07-04 20:27:19",0,0,0
12804,"2023-07-04 20:41:37",0,0,0
12804,"2023-07-04 21:36:28",0,1,0
12804,"2023-07-04 21:36:31",0,1,0
112073,"2023-07-04 21:47:19",0,2,0
112073,"2023-07-04 21:47:21",0,2,0
71805,"2023-07-04 22:01:52",0,1,0
100347,"2023-07-04 22:17:08",0,2,0
12804,"2023-07-05 06:30:59",0,0,0
686,"2023-07-05 06:32:31",0,0,0
686,"2023-07-05 06:32:34",0,0,0
112091,"2023-07-05 06:44:16",0,0,0
9124,"2023-07-05 06:46:35",0,0,0
11181,"2023-07-05 06:46:47",0,0,0
71105,"2023-07-05 06:47:43",0,0,0
9136,"2023-07-05 07:03:10",0,0,0
11672,"2023-07-05 07:04:09",0,0,0
8936,"2023-07-05 07:10:41",0,0,0
8936,"2023-07-05 07:10:43",0,0,0
110166,"2023-07-05 07:14:23",0,0,0
12362,"2023-07-05 07:18:39",0,0,0
71064,"2023-07-05 07:22:29",0,0,0
11745,"2023-07-05 07:22:45",0,0,0
11745,"2023-07-05 07:22:47",0,0,0
12837,"2023-07-05 07:28:03",0,0,0
8944,"2023-07-05 07:28:30",0,0,0
8944,"2023-07-05 07:28:32",0,0,0
11098,"2023-07-05 07:30:01",0,0,0
11098,"2023-07-05 07:30:03",0,0,0
11098,"2023-07-05 07:30:05",0,0,0
9549,"2023-07-05 07:34:37",0,0,0
9549,"2023-07-05 07:34:40",0,0,0
9370,"2023-07-05 08:11:56",0,0,0
12426,"2023-07-05 08:33:08",0,0,0
12936,"2023-07-05 08:35:08",0,0,0
19295,"2023-07-05 08:51:15",0,0,0
12672,"2023-07-05 08:56:48",0,0,0
10563,"2023-07-05 09:02:52",0,0,0
10563,"2023-07-05 09:02:58",0,0,0
11615,"2023-07-05 09:17:36",0,0,0
18761,"2023-07-05 09:20:01",0,0,0
12249,"2023-07-05 09:25:46",0,0,0
9132,"2023-07-05 09:38:02",0,0,0
11378,"2023-07-05 09:56:56",0,0,0
12969,"2023-07-05 10:28:01",0,0,0
18761,"2023-07-05 12:21:03",0,1,0
12249,"2023-07-05 12:45:34",0,0,0
10571,"2023-07-05 13:22:54",0,0,0
10571,"2023-07-05 13:22:56",0,0,0
19295,"2023-07-05 13:37:27",0,1,0
12804,"2023-07-05 14:36:57",0,0,0
12672,"2023-07-05 14:40:23",0,0,0
8940,"2023-07-05 15:20:26",0,1,0
8940,"2023-07-05 15:20:32",0,1,0
112091,"2023-07-05 15:20:57",0,0,0
11615,"2023-07-05 15:59:51",0,0,0
11745,"2023-07-05 16:00:54",0,1,0
11745,"2023-07-05 16:00:57",0,1,0
12362,"2023-07-05 16:01:31",0,0,0
6628,"2023-07-05 16:02:31",0,0,0
110166,"2023-07-05 16:03:07",0,0,0
12536,"2023-07-05 16:06:38",0,0,0
11098,"2023-07-05 16:08:35",0,1,0
11098,"2023-07-05 16:08:37",0,1,0
12837,"2023-07-05 16:11:18",0,0,0
9549,"2023-07-05 16:16:06",0,0,0
9549,"2023-07-05 16:16:08",0,0,0
8936,"2023-07-05 16:17:16",0,1,0
8936,"2023-07-05 16:17:19",0,1,0
8944,"2023-07-05 16:19:05",0,1,0
8944,"2023-07-05 16:19:07",0,1,0
9128,"2023-07-05 16:25:30",0,0,0
11181,"2023-07-05 16:28:58",0,0,0
9124,"2023-07-05 16:34:56",0,0,0
9131,"2023-07-05 16:43:49",0,0,0
9124,"2023-07-05 17:36:48",0,0,0
10566,"2023-07-05 17:50:46",0,0,0
12536,"2023-07-05 19:49:42",0,0,0
11672,"2023-07-05 19:54:41",0,0,0
71805,"2023-07-05 20:05:08",0,0,0
11672,"2023-07-05 20:14:30",0,0,0
10002,"2023-07-05 20:16:24",0,1,0
12936,"2023-07-05 20:40:26",0,0,0
112073,"2023-07-05 20:46:14",0,0,0
112073,"2023-07-05 20:46:16",0,0,0
2731,"2023-07-05 20:51:47",0,0,0
11047,"2023-07-05 20:57:25",0,0,0
11047,"2023-07-05 20:57:27",0,0,0
10571,"2023-07-05 21:55:42",0,0,0
112090,"2023-07-06 05:56:03",0,0,0
11181,"2023-07-06 06:35:09",0,0,0
11630,"2023-07-06 06:38:47",0,0,0
11630,"2023-07-06 06:38:50",0,0,0
77518,"2023-07-06 06:39:04",0,0,0
112091,"2023-07-06 06:40:05",0,0,0
12804,"2023-07-06 06:40:46",0,0,0
71822,"2023-07-06 06:46:57",0,0,0
9124,"2023-07-06 06:52:19",0,0,0
100530,"2023-07-06 06:59:31",0,0,0
12397,"2023-07-06 07:09:36",0,0,0
11081,"2023-07-06 07:10:43",0,0,0
8936,"2023-07-06 07:19:18",0,0,0
8936,"2023-07-06 07:19:21",0,0,0
110166,"2023-07-06 07:19:53",0,0,0
11745,"2023-07-06 07:20:13",0,0,0
11745,"2023-07-06 07:20:16",0,0,0
8944,"2023-07-06 07:20:47",0,0,0
8944,"2023-07-06 07:20:49",0,0,0
12362,"2023-07-06 07:24:14",0,0,0
11048,"2023-07-06 07:29:21",0,0,0
11098,"2023-07-06 07:31:18",0,0,0
11098,"2023-07-06 07:31:20",0,0,0
2731,"2023-07-06 07:38:31",0,0,0
9549,"2023-07-06 07:45:44",0,0,0
9549,"2023-07-06 07:45:47",0,0,0
9370,"2023-07-06 07:52:38",0,0,0
12536,"2023-07-06 07:54:50",0,0,0
112073,"2023-07-06 08:01:54",0,2,0
112073,"2023-07-06 08:01:57",0,2,0
12379,"2023-07-06 08:06:30",0,0,0
11615,"2023-07-06 08:16:55",0,0,0
11378,"2023-07-06 08:17:54",0,0,0
12936,"2023-07-06 08:27:03",0,0,0
19295,"2023-07-06 08:48:49",0,0,0
10563,"2023-07-06 08:50:06",0,0,0
10563,"2023-07-06 08:50:09",0,0,0
10563,"2023-07-06 08:50:11",0,0,0
71805,"2023-07-06 08:52:48",0,1,0
12674,"2023-07-06 09:14:39",0,0,0
18761,"2023-07-06 09:16:19",0,0,0
12249,"2023-07-06 09:29:59",0,0,0
12672,"2023-07-06 09:46:37",0,0,0
11672,"2023-07-06 11:23:03",0,0,0
6628,"2023-07-06 11:29:17",0,0,0
71105,"2023-07-06 12:47:58",0,0,0
18761,"2023-07-06 12:49:24",0,1,0
19295,"2023-07-06 12:49:38",0,1,0
12249,"2023-07-06 13:23:44",0,0,0
112099,"2023-07-06 13:29:21",0,0,0
12604,"2023-07-06 13:42:34",0,0,0
12379,"2023-07-06 14:12:49",0,2,0
12672,"2023-07-06 14:26:36",0,0,0
9124,"2023-07-06 14:34:15",0,0,0
12804,"2023-07-06 14:35:23",0,1,0
112091,"2023-07-06 14:51:20",0,0,0
112090,"2023-07-06 15:08:19",0,0,0
71822,"2023-07-06 15:15:57",0,0,0
12536,"2023-07-06 15:22:12",0,0,0
12362,"2023-07-06 16:00:07",0,0,0
11745,"2023-07-06 16:00:45",0,1,0
11745,"2023-07-06 16:00:48",0,1,0
12380,"2023-07-06 16:01:48",0,0,0
11181,"2023-07-06 16:02:50",0,0,0
8936,"2023-07-06 16:05:49",0,1,0
8936,"2023-07-06 16:05:52",0,1,0
11098,"2023-07-06 16:05:56",0,1,0
11098,"2023-07-06 16:05:59",0,1,0
11098,"2023-07-06 16:06:01",0,1,0
8944,"2023-07-06 16:07:16",0,1,0
8944,"2023-07-06 16:07:18",0,1,0
110166,"2023-07-06 16:09:00",0,0,0
9549,"2023-07-06 16:13:31",0,0,0
9549,"2023-07-06 16:13:34",0,0,0
9128,"2023-07-06 16:14:07",0,0,0
9128,"2023-07-06 16:14:09",0,0,0
77518,"2023-07-06 16:23:35",0,0,0
11048,"2023-07-06 16:26:26",0,0,0
11672,"2023-07-06 16:41:29",0,0,0
10002,"2023-07-06 18:03:05",0,1,0
100347,"2023-07-06 20:35:42",0,0,0
71105,"2023-07-06 20:36:14",0,2,0
2731,"2023-07-06 20:45:50",0,0,0
16695,"2023-07-06 20:56:52",0,0,0
11181,"2023-07-07 06:19:00",0,0,0
686,"2023-07-07 06:28:38",0,0,0
686,"2023-07-07 06:28:40",0,0,0
112073,"2023-07-07 06:43:09",0,0,0
112073,"2023-07-07 06:43:11",0,0,0
12804,"2023-07-07 06:43:19",0,0,0
71805,"2023-07-07 06:49:36",0,0,0
71822,"2023-07-07 06:53:41",0,0,0
8936,"2023-07-07 07:13:07",0,0,0
8936,"2023-07-07 07:13:09",0,0,0
9136,"2023-07-07 07:15:30",0,0,0
11098,"2023-07-07 07:19:50",0,0,0
11098,"2023-07-07 07:19:53",0,0,0
11098,"2023-07-07 07:19:55",0,0,0
12362,"2023-07-07 07:20:27",0,0,0
11098,"2023-07-07 07:20:33",0,0,0
8944,"2023-07-07 07:24:19",0,0,0
8944,"2023-07-07 07:24:21",0,0,0
110166,"2023-07-07 07:24:53",0,0,0
11745,"2023-07-07 07:25:35",0,0,0
11745,"2023-07-07 07:25:37",0,0,0
12843,"2023-07-07 07:29:19",0,0,0
9549,"2023-07-07 07:37:26",0,0,0
9549,"2023-07-07 07:37:29",0,0,0
2731,"2023-07-07 07:39:24",0,0,0
100347,"2023-07-07 07:58:39",0,2,0
12426,"2023-07-07 08:21:32",0,0,0
9370,"2023-07-07 08:38:35",0,0,0
12249,"2023-07-07 08:54:01",0,0,0
19295,"2023-07-07 08:54:29",0,0,0
11047,"2023-07-07 08:59:14",0,0,0
11047,"2023-07-07 08:59:16",0,0,0
12672,"2023-07-07 09:04:57",0,0,0
18761,"2023-07-07 09:14:53",0,0,0
10563,"2023-07-07 09:17:50",0,0,0
10563,"2023-07-07 09:17:57",0,0,0
11615,"2023-07-07 10:07:28",0,0,0
11630,"2023-07-07 10:57:03",0,0,0
11630,"2023-07-07 10:57:05",0,0,0
112090,"2023-07-07 12:45:36",0,0,0
71105,"2023-07-07 12:57:39",0,0,0
12249,"2023-07-07 13:41:42",0,0,0
19295,"2023-07-07 13:44:44",0,1,0
12604,"2023-07-07 13:50:32",0,0,0
18761,"2023-07-07 14:03:48",0,0,0
12804,"2023-07-07 14:05:05",0,1,0
12672,"2023-07-07 15:02:37",0,0,0
9136,"2023-07-07 15:07:34",0,1,0
6628,"2023-07-07 15:32:25",0,0,0
71822,"2023-07-07 15:33:47",0,0,0
112073,"2023-07-07 15:43:54",0,2,0
11615,"2023-07-07 15:50:49",0,0,0
71805,"2023-07-07 16:07:23",0,1,0
12536,"2023-07-07 16:09:48",0,0,0
11181,"2023-07-07 16:30:03",0,0,0
8944,"2023-07-07 16:30:29",0,1,0
11745,"2023-07-07 16:30:35",0,1,0
11745,"2023-07-07 16:30:38",0,1,0
12362,"2023-07-07 16:32:02",0,0,0
8936,"2023-07-07 16:36:03",0,1,0
8936,"2023-07-07 16:36:05",0,1,0
11098,"2023-07-07 16:36:13",0,1,0
11098,"2023-07-07 16:36:16",0,1,0
11098,"2023-07-07 16:36:18",0,1,0
9549,"2023-07-07 16:59:23",0,0,0
9549,"2023-07-07 16:59:25",0,0,0
9128,"2023-07-07 17:00:01",0,0,0
10002,"2023-07-07 17:46:47",0,1,0
12537,"2023-07-07 18:18:37",0,0,0
12537,"2023-07-07 18:18:40",0,0,0
10557,"2023-07-07 18:49:54",0,0,0
12537,"2023-07-07 19:07:23",0,0,0
112091,"2023-07-07 20:18:07",0,0,0
12399,"2023-07-07 20:20:03",0,0,0
71105,"2023-07-07 20:31:16",0,2,0
100347,"2023-07-07 20:43:35",0,0,0
9124,"2023-07-07 20:45:32",0,0,0
112090,"2023-07-07 21:41:49",0,0,0
12804,"2023-07-08 06:41:56",0,0,0
12843,"2023-07-08 07:29:17",0,0,0
100347,"2023-07-08 08:20:26",0,2,0
9124,"2023-07-08 08:46:14",0,0,0
112109,"2023-07-08 08:48:39",0,2,0
227,"2023-07-08 09:43:38",0,0,0
227,"2023-07-08 09:43:41",0,0,0
12536,"2023-07-08 09:52:39",0,0,0
12674,"2023-07-08 09:53:04",0,0,0
12536,"2023-07-08 12:13:41",0,0,0
12804,"2023-07-08 12:35:44",0,1,0
112090,"2023-07-08 12:47:17",0,0,0
11630,"2023-07-08 12:54:39",0,0,0
11630,"2023-07-08 12:54:42",0,0,0
71822,"2023-07-08 13:30:53",0,0,0
112073,"2023-07-08 13:44:29",0,0,0
112073,"2023-07-08 13:44:31",0,0,0
12936,"2023-07-08 13:55:08",0,0,0
227,"2023-07-08 14:21:52",0,0,0
71805,"2023-07-08 15:18:16",0,1,0
11630,"2023-07-08 21:31:14",0,0,0
11630,"2023-07-08 21:31:16",0,0,0
71822,"2023-07-08 21:35:10",0,0,0
112090,"2023-07-08 22:02:59",0,0,0
112073,"2023-07-08 22:13:55",0,2,0
16695,"2023-07-09 07:06:28",0,0,0
12426,"2023-07-09 08:41:01",0,0,0
58999,"2023-07-09 13:48:28",0,0,0
58999,"2023-07-09 13:48:31",0,0,0
58999,"2023-07-09 13:48:33",0,0,0
71805,"2023-07-09 13:49:37",0,0,0
2731,"2023-07-09 13:52:15",0,0,0
12804,"2023-07-09 15:49:01",0,0,0
12804,"2023-07-09 16:53:01",0,1,0
112090,"2023-07-09 19:48:13",0,0,0
112091,"2023-07-09 20:23:14",0,0,0
71822,"2023-07-09 20:29:00",0,0,0
112073,"2023-07-09 20:39:04",0,0,0
11949,"2023-07-09 20:39:53",0,0,0
11949,"2023-07-09 20:39:57",0,0,0
103473,"2023-07-09 21:01:25",0,0,0
2731,"2023-07-09 21:41:51",0,0,0
71805,"2023-07-09 21:58:10",0,1,0
686,"2023-07-10 06:22:03",0,0,0
686,"2023-07-10 06:22:05",0,0,0
12804,"2023-07-10 06:36:08",0,0,0
12804,"2023-07-10 06:36:10",0,0,0
9124,"2023-07-10 06:45:31",0,0,0
11181,"2023-07-10 06:56:10",0,0,0
10554,"2023-07-10 06:56:13",0,0,0
8944,"2023-07-10 07:02:54",0,0,0
8944,"2023-07-10 07:02:56",0,0,0
11073,"2023-07-10 07:04:52",0,0,0
11073,"2023-07-10 07:04:55",0,0,0
12536,"2023-07-10 07:06:50",0,0,0
12936,"2023-07-10 07:08:29",0,0,0
8936,"2023-07-10 07:14:15",0,0,0
8936,"2023-07-10 07:14:18",0,0,0
11098,"2023-07-10 07:16:58",0,0,0
11098,"2023-07-10 07:17:00",0,0,0
11098,"2023-07-10 07:17:03",0,0,0
11053,"2023-07-10 07:18:37",0,0,0
11745,"2023-07-10 07:28:16",0,0,0
11745,"2023-07-10 07:28:19",0,0,0
9549,"2023-07-10 07:34:58",0,0,0
9549,"2023-07-10 07:35:01",0,0,0
6628,"2023-07-10 07:53:22",0,0,0
112090,"2023-07-10 07:53:40",0,0,0
9131,"2023-07-10 08:03:40",0,0,0
112091,"2023-07-10 08:05:39",0,0,0
112073,"2023-07-10 08:21:58",0,2,0
112073,"2023-07-10 08:22:01",0,2,0
12426,"2023-07-10 08:25:50",0,0,0
10563,"2023-07-10 08:43:21",0,0,0
10563,"2023-07-10 08:43:28",0,0,0
10563,"2023-07-10 08:43:30",0,0,0
19295,"2023-07-10 08:47:22",0,0,0
12604,"2023-07-10 08:47:30",0,0,0
12249,"2023-07-10 08:54:29",0,0,0
